                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5073,                 8.7801,                 1.4668,                0.00311,                0.00884,                0.00169,                0.00116,                 1.4286,                 6.1934,                 1.5641,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                  1.213,                 4.4316,                  1.296,                0.66721,                 0.5871,                0.63018,                   0.49,                0.97442,                 2.4387,                 1.1714,             0.00019087,             0.00019087,             0.00019087
                      3,                 0.9915,                 1.6703,                 1.1479,                0.77812,                0.67982,                0.77329,                  0.593,                 1.0368,                 1.3602,                 1.1926,             0.00028694,             0.00028694,             0.00028694
                      4,                0.91392,                 1.1015,                 1.0808,                0.79781,                0.63348,                0.74715,                0.55699,                 1.0856,                 1.2305,                 1.1989,             0.00038104,             0.00038104,             0.00038104
                      5,                0.91966,                 0.8978,                  1.071,                0.73821,                0.69918,                0.78202,                  0.582,                 1.0364,                 1.2817,                  1.154,             0.00047315,             0.00047315,             0.00047315
                      6,                0.90635,                0.78546,                  1.062,                0.78334,                0.58925,                0.75641,                 0.5719,                 1.0587,                 1.4728,                 1.1726,             0.00056329,             0.00056329,             0.00056329
                      7,                0.90905,                0.70287,                 1.0619,                0.62461,                0.39408,                0.53674,                0.37719,                 1.2338,                 2.0245,                 1.2547,             0.00065144,             0.00065144,             0.00065144
                      8,                0.89015,                0.69433,                 1.0601,                0.69364,                0.46933,                0.59585,                0.39684,                 1.2435,                 1.9551,                 1.2788,             0.00066452,             0.00066452,             0.00066452
                      9,                0.89382,                0.65264,                 1.0681,                0.72237,                0.58064,                   0.71,                0.55061,                 1.0241,                 1.4283,                 1.1226,             0.00066452,             0.00066452,             0.00066452
                     10,                0.83356,                 0.5978,                 1.0242,                0.73421,                0.63774,                0.73747,                0.57398,                 1.0055,                 1.2927,                 1.1008,             0.00065745,             0.00065745,             0.00065745
                     11,                0.81703,                0.56987,                 1.0048,                0.68578,                 0.6868,                0.71742,                 0.5525,                0.99906,                 1.3891,                 1.1163,             0.00065038,             0.00065038,             0.00065038
                     12,                0.80432,                0.56418,                   1.02,                0.82989,                0.85811,                0.89845,                0.69559,                0.85871,                0.83133,                 1.0406,             0.00064331,             0.00064331,             0.00064331
                     13,                0.80551,                0.53619,                 1.0055,                0.83539,                0.81853,                0.88154,                0.69216,                0.85926,                0.83209,                 1.0356,             0.00063625,             0.00063625,             0.00063625
                     14,                0.77737,                0.54068,                0.99791,                0.89537,                0.90343,                0.94815,                0.74116,                0.83945,                0.56221,                 1.0089,             0.00062918,             0.00062918,             0.00062918
                     15,                0.78231,                0.52354,                0.98455,                0.91819,                0.93922,                0.95328,                0.77039,                 0.8067,                0.53134,                0.99643,             0.00062211,             0.00062211,             0.00062211
                     16,                0.75616,                0.50129,                 0.9923,                0.93541,                0.91548,                0.95571,                0.77002,                0.80021,                0.52679,                0.99196,             0.00061504,             0.00061504,             0.00061504
                     17,                0.78969,                0.51433,                0.99155,                0.89693,                0.93164,                 0.9481,                0.75958,                0.81277,                0.55169,                 1.0101,             0.00060797,             0.00060797,             0.00060797
                     18,                0.74119,                0.46707,                0.98016,                 0.9355,                 0.9398,                0.96239,                0.78465,                0.79152,                0.50385,                0.99487,              0.0006009,              0.0006009,              0.0006009
                     19,                0.77329,                0.49447,                 1.0045,                0.92434,                0.94087,                0.96692,                0.78833,                0.76768,                0.51326,                0.97583,             0.00059383,             0.00059383,             0.00059383
                     20,                0.70635,                0.45875,                0.96744,                0.90156,                0.92858,                0.94451,                0.75975,                0.77101,                0.53009,                0.98997,             0.00058677,             0.00058677,             0.00058677
                     21,                0.70566,                0.44562,                0.95016,                0.93008,                0.95754,                0.96882,                0.79925,                0.74705,                0.47415,                0.96514,              0.0005797,              0.0005797,              0.0005797
                     22,                0.71015,                0.44966,                0.95807,                0.94348,                0.92737,                0.96427,                0.79404,                0.74624,                0.48489,                0.97153,             0.00057263,             0.00057263,             0.00057263
                     23,                0.70267,                0.43183,                0.96232,                0.95188,                0.95802,                0.97467,                0.80796,                0.74503,                0.44366,                 0.9615,             0.00056556,             0.00056556,             0.00056556
                     24,                0.70019,                0.43229,                0.95575,                0.95374,                 0.9519,                0.97776,                0.81008,                0.74838,                 0.4496,                0.96542,             0.00055849,             0.00055849,             0.00055849
                     25,                0.70806,                0.43494,                0.96907,                0.95759,                 0.9573,                 0.9746,                0.80863,                0.71569,                0.43592,                0.95011,             0.00055142,             0.00055142,             0.00055142
                     26,                0.68945,                0.42587,                0.94148,                0.94423,                0.96043,                0.97334,                0.81292,                0.71874,                 0.4336,                0.95941,             0.00054435,             0.00054435,             0.00054435
                     27,                0.66562,                0.42192,                0.94408,                0.95151,                0.96099,                0.97431,                0.80893,                0.72883,                0.42522,                0.95538,             0.00053728,             0.00053728,             0.00053728
                     28,                0.67705,                0.42476,                0.94275,                0.94461,                0.96322,                0.97338,                  0.805,                0.73355,                0.43395,                0.96076,             0.00053022,             0.00053022,             0.00053022
                     29,                0.66508,                0.41061,                0.94064,                  0.938,                0.97326,                0.97643,                0.81902,                0.72076,                0.42016,                0.95697,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.6679,                0.40847,                0.93381,                0.94112,                0.95603,                0.96901,                0.81451,                0.70416,                0.42248,                0.94609,             0.00051608,             0.00051608,             0.00051608
                     31,                0.66211,                0.40917,                0.93501,                0.92636,                 0.9425,                0.96801,                0.79883,                0.74107,                0.45248,                0.95389,             0.00050901,             0.00050901,             0.00050901
                     32,                0.64382,                0.39527,                 0.9254,                0.94165,                0.94028,                 0.9625,                  0.807,                0.70854,                0.44585,                0.95417,             0.00050194,             0.00050194,             0.00050194
                     33,                0.65393,                0.40354,                0.92922,                0.95646,                0.93448,                0.96636,                0.81688,                0.71021,                0.44092,                0.94414,             0.00049487,             0.00049487,             0.00049487
                     34,                0.64783,                 0.4093,                0.92841,                0.93418,                0.96302,                0.97337,                0.82248,                0.69833,                0.40763,                0.94934,              0.0004878,              0.0004878,              0.0004878
                     35,                 0.6283,                 0.3821,                0.92539,                0.94871,                0.97884,                 0.9801,                 0.8272,                0.68503,                0.39324,                0.95114,             0.00048074,             0.00048074,             0.00048074
                     36,                0.61279,                0.37768,                 0.9153,                 0.9226,                0.96673,                 0.9713,                  0.821,                0.69663,                0.42077,                0.94785,             0.00047367,             0.00047367,             0.00047367
                     37,                0.61939,                0.37334,                 0.9195,                0.92883,                0.96175,                 0.9694,                0.82308,                0.67577,                0.41393,                0.94163,              0.0004666,              0.0004666,              0.0004666
                     38,                0.60959,                0.37117,                0.90459,                 0.9421,                0.94299,                0.96686,                0.81491,                0.69979,                0.43168,                0.96399,             0.00045953,             0.00045953,             0.00045953
                     39,                0.60102,                0.36133,                0.91032,                0.95021,                0.94426,                0.96896,                0.81785,                0.68441,                0.39889,                0.94896,             0.00045246,             0.00045246,             0.00045246
                     40,                0.59768,                 0.3581,                0.90517,                0.91465,                0.96122,                0.96273,                0.81786,                0.69593,                0.44327,                 0.9495,             0.00044539,             0.00044539,             0.00044539
                     41,                 0.5902,                0.35055,                0.90525,                0.94983,                0.96729,                0.97208,                0.83074,                 0.6686,                0.39289,                0.93724,             0.00043832,             0.00043832,             0.00043832
                     42,                0.59905,                0.36125,                0.91572,                0.93608,                0.92501,                0.94974,                0.80066,                0.70808,                0.46949,                0.95374,             0.00043126,             0.00043126,             0.00043126
                     43,                0.59332,                0.35147,                0.91217,                0.95377,                0.95278,                0.97109,                0.82818,                0.68172,                 0.3928,                0.93741,             0.00042419,             0.00042419,             0.00042419
                     44,                0.59674,                0.35421,                0.91272,                0.94935,                0.96963,                  0.972,                0.83471,                0.67164,                0.39268,                0.93724,             0.00041712,             0.00041712,             0.00041712
                     45,                0.58104,                0.34531,                0.90269,                0.95325,                0.95692,                0.97405,                0.83177,                0.66302,                 0.3919,                0.94043,             0.00041005,             0.00041005,             0.00041005
                     46,                0.58063,                 0.3508,                0.89966,                0.95026,                0.95927,                0.96912,                0.82517,                0.67852,                0.39323,                0.95093,             0.00040298,             0.00040298,             0.00040298
                     47,                0.58276,                0.35012,                0.90372,                0.94251,                0.96008,                0.96996,                0.83338,                0.66651,                0.39747,                0.93686,             0.00039591,             0.00039591,             0.00039591
                     48,                0.57846,                0.34693,                0.89777,                0.95508,                 0.9618,                0.97273,                0.83643,                0.64983,                0.37796,                0.93502,             0.00038884,             0.00038884,             0.00038884
                     49,                0.56383,                0.33757,                0.88607,                0.94526,                 0.9738,                 0.9758,                0.83616,                0.65491,                0.37758,                 0.9379,             0.00038178,             0.00038178,             0.00038178
                     50,                0.55536,                 0.3364,                0.89346,                0.95586,                 0.9687,                0.97834,                0.83667,                0.66596,                0.37751,                0.93848,             0.00037471,             0.00037471,             0.00037471
                     51,                0.55796,                 0.3332,                0.89463,                0.94548,                0.96722,                0.97146,                0.83124,                 0.6766,                0.38473,                0.94413,             0.00036764,             0.00036764,             0.00036764
                     52,                0.54432,                0.32387,                0.88254,                0.93773,                 0.9527,                 0.9708,                0.83567,                0.65992,                0.38744,                0.93847,             0.00036057,             0.00036057,             0.00036057
                     53,                0.55728,                0.32718,                0.88249,                0.95646,                0.95824,                 0.9747,                0.83445,                0.66129,                0.38224,                0.94085,              0.0003535,              0.0003535,              0.0003535
                     54,                0.53274,                 0.3151,                 0.8793,                0.94605,                0.96708,                0.97419,                0.83564,                0.65676,                0.38217,                0.93979,             0.00034643,             0.00034643,             0.00034643
                     55,                 0.5299,                0.32116,                0.88328,                0.95282,                0.97157,                0.97478,                0.83903,                0.65504,                0.36878,                0.94488,             0.00033936,             0.00033936,             0.00033936
                     56,                0.52014,                0.31079,                0.87287,                0.93981,                0.92342,                0.94802,                0.80356,                0.68417,                0.44341,                0.96215,              0.0003323,              0.0003323,              0.0003323
                     57,                0.51937,                0.31658,                0.86581,                0.95564,                0.96768,                0.97519,                0.83762,                0.65303,                0.38103,                  0.937,             0.00032523,             0.00032523,             0.00032523
                     58,                0.50117,                0.30452,                0.86422,                0.94755,                0.96937,                0.97683,                0.84439,                0.63502,                 0.3599,                0.92706,             0.00031816,             0.00031816,             0.00031816
                     59,                0.52998,                 0.3134,                0.87989,                0.95067,                0.95909,                0.96963,                0.83559,                0.64526,                0.38633,                0.93768,             0.00031109,             0.00031109,             0.00031109
                     60,                0.52154,                0.31842,                0.87337,                0.95006,                0.96413,                0.97604,                0.84258,                0.65103,                0.37456,                 0.9384,             0.00030402,             0.00030402,             0.00030402
                     61,                0.50081,                0.30545,                0.87104,                0.95079,                0.97063,                0.97582,                0.83714,                0.65108,                0.36724,                0.94351,             0.00029695,             0.00029695,             0.00029695
                     62,                0.50563,                0.29863,                0.86213,                 0.9524,                0.97767,                0.97829,                0.84274,                0.64626,                 0.3608,                0.93876,             0.00028988,             0.00028988,             0.00028988
                     63,                0.49848,                0.30137,                0.86505,                0.94802,                0.97331,                0.97788,                 0.8408,                0.64387,                0.37289,                0.94134,             0.00028282,             0.00028282,             0.00028282
                     64,                0.50681,                0.30047,                0.86206,                0.95169,                 0.9654,                0.97464,                0.84145,                0.64284,                0.37948,                0.93767,             0.00027575,             0.00027575,             0.00027575
                     65,                0.50595,                0.29953,                 0.8668,                0.95308,                0.96429,                0.97332,                0.84544,                 0.6353,                0.36886,                 0.9353,             0.00026868,             0.00026868,             0.00026868
                     66,                  0.488,                 0.2934,                0.86768,                0.94867,                 0.9716,                0.97415,                0.84787,                0.62321,                0.35251,                0.92832,             0.00026161,             0.00026161,             0.00026161
                     67,                0.49756,                 0.2972,                0.85874,                0.94611,                0.97468,                 0.9737,                 0.8482,                0.62386,                0.36211,                0.93049,             0.00025454,             0.00025454,             0.00025454
                     68,                0.47374,                0.28444,                0.85877,                 0.9426,                0.97415,                0.97487,                0.84513,                 0.6243,                 0.3637,                0.93238,             0.00024747,             0.00024747,             0.00024747
                     69,                0.48573,                0.29188,                  0.864,                0.95366,                 0.9719,                0.97755,                0.84749,                 0.6249,                0.35063,                0.93599,              0.0002404,              0.0002404,              0.0002404
                     70,                0.46983,                0.28332,                0.86006,                0.96044,                0.96836,                0.97724,                0.85273,                0.62297,                0.35057,                0.93293,             0.00023334,             0.00023334,             0.00023334
                     71,                0.46271,                0.28511,                0.85729,                0.95485,                0.95938,                0.97128,                0.84674,                0.62117,                0.35761,                0.93089,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.4706,                 0.2833,                0.85454,                 0.9558,                0.97068,                0.97676,                0.85108,                0.61152,                0.34501,                0.93429,              0.0002192,              0.0002192,              0.0002192
                     73,                  0.474,                0.28725,                0.85868,                0.95055,                0.97288,                0.97652,                0.85264,                0.61996,                0.35353,                0.93805,             0.00021213,             0.00021213,             0.00021213
                     74,                0.46203,                  0.279,                0.85505,                0.96318,                0.95799,                0.97631,                0.84905,                0.61334,                0.34563,                0.93153,             0.00020506,             0.00020506,             0.00020506
                     75,                0.46578,                0.27187,                0.86259,                0.96813,                0.95546,                0.97487,                0.85128,                 0.6108,                0.34245,                0.93089,             0.00019799,             0.00019799,             0.00019799
                     76,                0.44714,                0.27097,                0.84041,                0.95734,                 0.9731,                0.97738,                0.85113,                0.61811,                0.34043,                0.93886,             0.00019092,             0.00019092,             0.00019092
                     77,                0.43956,                0.26655,                0.84776,                0.95688,                0.96966,                0.97356,                0.85241,                0.60484,                0.33741,                0.93349,             0.00018385,             0.00018385,             0.00018385
                     78,                0.44464,                0.26371,                 0.8487,                0.95236,                0.97346,                0.97472,                0.85832,                 0.6022,                0.34075,                0.92695,             0.00017679,             0.00017679,             0.00017679
                     79,                0.43429,                0.26084,                 0.8532,                0.95779,                0.96402,                0.97336,                0.85134,                0.60485,                0.34365,                0.92702,             0.00016972,             0.00016972,             0.00016972
                     80,                0.44326,                0.26004,                0.83624,                0.96168,                0.96835,                0.97318,                0.84904,                0.61095,                 0.3363,                0.93608,             0.00016265,             0.00016265,             0.00016265
                     81,                0.41642,                0.25786,                0.83701,                0.95457,                0.96533,                0.97541,                0.85356,                0.60932,                0.33865,                 0.9336,             0.00015558,             0.00015558,             0.00015558
                     82,                 0.4235,                0.25708,                0.83847,                0.95695,                0.96446,                0.97307,                 0.8513,                0.60119,                0.33878,                 0.9249,             0.00014851,             0.00014851,             0.00014851
                     83,                0.41992,                0.25261,                0.83521,                0.95606,                0.97025,                0.97633,                0.85487,                0.59873,                0.33261,                 0.9308,             0.00014144,             0.00014144,             0.00014144
                     84,                0.42256,                0.25404,                0.83431,                0.95405,                0.96793,                 0.9766,                0.85796,                0.59435,                0.33238,                0.92629,             0.00013437,             0.00013437,             0.00013437
                     85,                0.41723,                0.26566,                0.84114,                0.95659,                0.96879,                0.97346,                0.85335,                0.59951,                0.33434,                0.93451,             0.00012731,             0.00012731,             0.00012731
                     86,                0.42037,                0.25579,                0.83972,                0.96569,                0.96301,                0.97557,                0.85348,                0.60041,                0.33264,                0.92948,             0.00012024,             0.00012024,             0.00012024
                     87,                0.40977,                0.24708,                0.83154,                0.95414,                0.97818,                0.97707,                 0.8539,                0.59819,                0.33531,                0.93589,             0.00011317,             0.00011317,             0.00011317
                     88,                0.40015,                0.24447,                0.82596,                0.95545,                0.97567,                0.97764,                0.85555,                0.60314,                0.32969,                 0.9374,              0.0001061,              0.0001061,              0.0001061
                     89,                0.41273,                0.25014,                0.83698,                 0.9601,                0.96673,                0.97686,                0.85395,                0.59288,                0.33315,                0.93256,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.41165,                0.24662,                 0.8358,                0.95154,                0.97637,                0.97715,                0.86056,                0.58647,                0.32663,                0.92841,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.40083,                0.24105,                0.83009,                0.95355,                0.98055,                0.97856,                0.85962,                0.58729,                0.32626,                0.93635,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.40179,                0.24089,                0.83561,                0.96381,                0.97091,                0.97772,                 0.8585,                0.59296,                0.32761,                0.93758,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.39845,                0.23934,                0.83415,                0.96249,                0.97087,                 0.9779,                0.85709,                0.59444,                0.32624,                0.93259,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 0.3956,                0.24327,                 0.8313,                0.95348,                0.97944,                0.97806,                0.85584,                0.59719,                0.33507,                0.93553,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.39212,                0.23926,                0.83262,                0.96532,                0.96967,                0.97934,                0.85828,                0.59617,                0.32886,                0.93996,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.39069,                0.23644,                0.83434,                0.96388,                0.97088,                0.97847,                0.85898,                0.59102,                0.33025,                0.93435,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.38964,                0.22915,                0.83367,                0.96555,                0.97244,                0.97904,                 0.8584,                0.58979,                0.32586,                0.93699,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.38832,                0.23619,                0.82584,                0.95433,                0.98005,                0.97845,                0.85926,                0.58856,                0.32455,                0.93427,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.36905,                0.22348,                0.82722,                0.96501,                 0.9746,                 0.9799,                0.86027,                0.58836,                0.32547,                0.93536,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.37873,                0.22911,                0.82562,                0.96171,                0.97972,                 0.9799,                0.85923,                0.59171,                0.32601,                0.93782,             2.1277e-05,             2.1277e-05,             2.1277e-05
